,lb,ub,PRISM_solar_litho flux,μₓ,PhotonOut flux,NDH-1(1)u flux,MEHLER flux,CEFQCycle flux,PSIIPlaq9h2 flux,ATPSh flux,FNORh flux,atp_h flux
0,0.0,0.0,0.0,3.6510858820231554e-10,-0.0,0.0,0.0,0.0,2.423745162965516e-07,1.0387426634233386e-07,2.423745162965516e-07,5.48245565347553e-07
1,10.0,10.0,10.0,0.003697870032188298,0.18078000000000366,0.0,0.0,0.0,2.4548024597068854,1.052052866009318,2.4548024597068854,5.552706542349117
2,20.0,20.0,20.0,0.007395739699268008,0.3615600000000073,0.0,0.0,0.0,4.909604677039255,2.10410562814437,4.909604677039255,11.105412536452672
3,30.0,30.0,30.0,0.011093609366347717,0.5423400000000023,0.0,0.0,0.0,7.364406894371624,3.1561583902794217,7.364406894371624,16.658118530556223
4,40.0,40.0,40.0,0.014791479033427427,0.7231200000000146,0.0,0.0,0.0,9.819209111703993,4.208211152414473,9.819209111703993,22.210824524659778
5,50.0,50.0,50.0,0.018489348700507138,0.9038999999999922,0.0,0.0,0.0,12.274011329036362,5.260263914549525,12.274011329036362,27.76353051876333
6,60.0,60.0,60.0,0.022187218367586848,1.0846800000000045,0.0,0.0,0.0,14.728813546368732,6.312316676684577,14.728813546368732,33.31623651286688
7,70.0,70.0,70.0,0.02588508803466656,1.265460000000017,0.0,0.0,0.0,17.1836157637011,7.364369438819629,17.1836157637011,38.868942506970434
8,80.0,80.0,80.0,0.029582957701746265,1.4462400000000293,0.0,0.0,0.0,19.63841798103347,8.41642220095468,19.63841798103347,44.42164850107399
9,90.0,90.0,90.0,0.033280827368825976,1.6270199999999373,0.0,0.0,0.0,22.093220198365838,9.468474963089731,22.093220198365838,49.974354495177536
10,100.0,100.0,100.0,0.036978697035905686,1.8077999999999843,0.0,0.0,0.0,24.54802241569821,10.520527725224783,24.54802241569821,55.52706048928109
11,110.0,110.0,110.0,0.038560620042751924,1.988579999999962,0.0,0.0,0.0,27.00282622528044,11.572584220192022,27.00282622528044,61.02635744294993
12,120.0,120.0,120.0,0.038560620042751924,2.169360000000009,0.0,0.0,0.0,29.457631225259732,12.624643505897433,29.457631225259732,66.67180685760219
13,130.0,130.0,130.0,0.038560620042751924,2.350139999999987,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
14,140.0,140.0,140.0,0.038560620042751924,2.530920000000034,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
15,150.0,150.0,150.0,0.038560620042751924,2.711700000000011,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
16,160.0,160.0,160.0,0.038560620042751924,2.8924800000000586,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
17,170.0,170.0,170.0,0.038560620042751924,3.073260000000036,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
18,180.0,180.0,180.0,0.038560620042751924,3.254040000000083,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
19,190.0,190.0,190.0,0.038560620042751924,3.4348199999999913,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
20,200.0,200.0,200.0,0.038560620042751924,3.6156000000000383,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
21,210.0,210.0,210.0,0.038560620042751924,3.796380000000016,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
22,220.0,220.0,220.0,0.038560620042751924,3.9771599999999934,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
23,230.0,230.0,230.0,0.038560620042751924,4.157940000000041,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
24,240.0,240.0,240.0,0.038560620042751924,4.338719999999949,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
25,250.0,250.0,250.0,0.038560620042751924,4.519499999999995,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
26,260.0,260.0,260.0,0.038560620042751924,4.700279999999974,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
27,270.0,270.0,270.0,0.038560620042751924,4.88106000000002,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
28,280.0,280.0,280.0,0.038560620042751924,5.061839999999998,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
29,290.0,290.0,290.0,0.038560620042751924,5.242619999999976,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
30,300.0,300.0,300.0,0.038560620042751924,5.423399999999953,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
31,310.0,310.0,310.0,0.038560620042751924,5.60418,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
32,320.0,320.0,320.0,0.038560620042751924,5.784959999999978,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
33,330.0,330.0,330.0,0.038560620042751924,5.965740000000025,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
34,340.0,340.0,340.0,0.038560620042751924,6.146519999999933,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
35,350.0,350.0,350.0,0.038560620042751924,6.32729999999998,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
36,360.0,360.0,360.0,0.038560620042751924,6.508079999999958,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
37,370.0,370.0,370.0,0.038560620042751924,6.688860000000075,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
