,bound,PhotonOut flux,RHODOPSINIp flux,μₓ,Photon Absorption,VITD3Sp flux,P700SGTp flux,P680SGTp flux,LHCIIabsp flux,PCHLDp flux,BCAROSingletp flux,OECLghtDMGp flux,ZEAXExcp flux
25.0,25.0,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
24.875,24.875,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
24.75,24.75,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
24.625,24.625,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
24.5,24.5,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
24.375,24.375,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
24.25,24.25,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
24.125,24.125,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
24.0,24.0,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
23.875,23.875,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
23.75,23.75,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
23.625,23.625,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
23.5,23.5,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
23.375,23.375,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
23.25,23.25,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
23.125,23.125,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
23.0,23.0,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
22.875,22.875,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
22.75,22.75,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
22.625,22.625,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
22.5,22.5,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
22.375,22.375,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
22.25,22.25,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
22.125,22.125,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
22.0,22.0,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
21.875,21.875,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
21.75,21.75,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
21.625,21.625,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
21.5,21.5,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
21.375,21.375,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
21.25,21.25,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
21.125,21.125,18.078,19.751209511348954,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,0.0,0.0,42.23042115190007
